AcX,AcY,AcZ,GyX,GyY,GyZ,Activity
760,-1392,15704,-1974,-693,3253,moving
-1404,468,17488,56,759,6505,moving
-2048,2164,15776,-2139,-303,-819,moving
-1644,2612,18268,302,704,-11449,moving
-332,40,15280,-1006,2559,-2514,moving
-3352,212,16412,1020,3079,-4634,moving
-1456,100,18192,-48,-1959,-6732,moving
-1000,412,13076,-429,339,-3875,moving
-3296,-1068,18544,-293,1252,-4384,moving
1444,-2924,14980,-389,6445,-6579,moving
-392,-616,13948,122,928,-5784,moving
-3420,-316,14320,305,888,-1681,moving
400,-1208,17948,-1085,6834,-3184,moving
-504,-1224,14620,-1030,2400,-5315,moving
-3488,-576,17788,-701,-2319,-1002,moving
-3008,-1388,14876,513,1381,-5031,moving
-1028,-268,13052,1947,-3385,-5678,moving
928,932,16404,89,1218,2080,moving
-1384,-504,14904,-1084,-511,5144,moving
-1340,-712,13936,-953,621,-2104,moving
-828,-1436,14960,219,-2117,-2867,moving
-9400,-3376,32767,1257,-6625,3279,moving
-2456,-740,14688,18,-1346,4925,moving
-1728,672,14836,-3053,3021,2192,moving
-364,-1440,13744,-713,-2004,4305,moving
-1896,-1056,18124,132,-138,1383,moving
-716,440,14740,-1510,-1411,7779,moving
-3448,-3880,12612,-1637,-2790,1706,moving
-1684,-1608,17432,414,3619,1950,moving
-2640,-2340,10688,-2071,-3641,2426,moving
-2208,-1048,14464,-1342,-4920,-1865,moving
-2616,184,16252,783,-2423,302,moving
276,-1060,15732,-1087,-1820,-2917,moving
-1048,-688,896,620,-1223,-1944,moving
-1604,-3144,14420,-2636,-1492,715,moving
680,-480,15492,904,4174,-5163,moving
-2112,5900,25916,-2241,-9957,5671,moving
11016,8132,-1072,622,-12183,-2353,moving
-8664,316,32767,-1427,-4462,-2972,moving
-1028,-544,13416,1429,-4059,-2982,moving
-1100,-1772,16360,-1995,-280,-4251,moving
-3264,-1224,15844,89,3181,-1526,moving
-632,656,16328,378,2752,-7106,moving
-544,1952,9464,-2829,-5766,-2827,moving
-2000,-1760,12496,-1574,177,-1156,moving
-600,-1368,12836,1886,-3804,-5786,moving
-1828,208,17320,1201,424,2560,moving
-4444,-1284,19732,367,2134,-2777,moving
344,-796,15892,302,10105,474,moving
960,-656,15152,-1642,1242,-1260,moving
96,-1296,14820,-3147,7623,731,moving
-2716,-1432,12468,487,-5712,5475,moving
-732,1720,13812,-748,-1067,4478,moving
420,-1372,14348,-1097,-5944,8675,moving
-2736,-1000,20572,980,4826,3311,moving
3940,-2520,12572,-957,4095,2180,moving
-572,-1736,16768,-1663,4683,4797,moving
-616,828,13464,1177,-683,-2538,moving
-100,540,15868,1237,-738,476,moving
-2744,-368,19592,-1751,-2175,-2576,moving
1072,480,15624,-1534,-1297,-5833,moving
3200,212,13328,-1367,4376,-505,moving
-628,-1108,14684,-1951,3245,-6850,moving
-764,-988,13760,-2101,3262,-5259,moving
-1556,-1964,15340,-965,-588,-2088,moving
-2400,-2044,15144,1847,-4322,-7226,moving
-3364,-1396,15468,676,6340,6043,moving
-1968,-872,16564,-2647,-3308,5485,moving
76,-1404,15440,88,3994,6120,moving
-1004,1020,15968,-2210,3682,1348,moving
268,104,13964,-356,-199,4009,moving
-764,1808,11904,141,-3109,-709,moving
1896,-836,14380,-1192,-23,109,moving
4884,-1692,5820,-550,252,954,moving
528,452,21760,-281,-4485,-3856,moving
820,-484,13268,-2081,-999,4548,moving
-1012,-364,14544,-2251,180,-703,moving
776,216,15064,-2119,2289,152,moving
-440,-368,12304,508,-1244,871,moving
472,816,15784,-298,2562,-1158,moving
-1488,-280,16692,-1137,-917,5004,moving
-2808,-180,17268,-1447,-3269,1073,moving
-2348,-2352,19868,544,6525,-2061,moving
448,-188,16452,-416,7906,-2322,moving
4196,-280,10548,-3462,-1863,-1367,moving
-2744,-1868,13588,-1442,4400,-859,moving
1860,100,12176,-588,748,-1964,moving
-1188,-1764,15872,-560,-2317,2758,moving
-1548,64,18476,884,3570,-3205,moving
-788,-5016,21632,-1439,-2858,-6129,moving
-1488,-1508,12552,-2039,6791,-9808,moving
-580,-604,12824,112,2222,-8883,moving
-1504,-832,13360,344,153,-6807,moving
-1040,-2284,13512,1403,-4281,-10027,moving
-2228,-2976,17472,575,-70,-1027,moving
-920,-2292,12820,-56,-1394,-3105,moving
-2712,-1596,11960,526,-3505,632,moving
-2104,-2088,16116,-60,-2670,221,moving
-1264,-1064,14544,-42,-1792,-855,moving
64,-400,15740,-1616,-6391,7521,moving
-3076,-2092,16672,-619,-237,6604,moving
-2160,-2096,14788,-1290,-895,14419,moving
-1844,-1184,12056,-162,-1345,8259,moving
-500,-2236,12184,-1005,3627,3163,moving
-884,-2968,12584,248,-5490,7709,moving
-1292,-624,17220,-234,-2186,124,moving
852,-3264,15744,-802,2478,3053,moving
-196,-568,14052,-2020,-4161,-3077,moving
1740,-2212,14040,-197,-2317,-924,moving
-816,-748,13460,-184,2190,-8279,moving
1980,-984,10608,-686,4519,-10077,moving
-556,-296,10764,-168,1132,-7600,moving
-376,-1948,13004,919,-3324,-10479,moving
-1704,-2852,16544,364,-1715,-2095,moving
-676,-2928,16692,-921,-1903,-3705,moving
-676,-1176,13680,-319,-1034,1839,moving
280,-2208,11592,-370,-5110,-2581,moving
1800,-436,11372,-684,-1250,1655,moving
364,-1520,11652,-267,655,-1627,moving
-684,-2368,17052,876,-2423,396,moving
-396,-2476,11972,-4299,-7444,1834,moving
-400,-468,15404,65,3005,3642,moving
-3164,-2768,19228,-99,11497,-150,moving
3892,-156,14432,239,8764,2419,moving
6168,-948,6148,-4048,-399,2227,moving
56,-780,15404,2403,-926,-3745,moving
-576,-2072,14256,-663,-82,12923,moving
-240,-864,16372,-447,-1462,-4240,moving
328,-6260,12620,-2155,-317,-155,moving
-1336,-1192,14168,933,-2081,-1215,moving
-372,-1408,16020,5,-5800,-4037,moving
8072,5304,21288,-2871,-15627,-6762,moving
-1448,-3764,15064,-55,1548,-3789,moving
-2656,-2648,19084,-669,-2170,-4697,moving
2032,-1512,8532,-3193,-10933,-8474,moving
-2332,-3156,12148,-2405,-77,1867,moving
2100,-1420,12968,-2353,-3257,2905,moving
-968,-3892,15108,-2076,1731,3328,moving
716,-1436,16720,-485,-4817,8121,moving
-1432,-1532,11788,955,-36,9011,moving
-1656,-1844,12916,-128,-1528,5291,moving
1524,-760,12428,-344,-599,3124,moving
-524,-852,16420,150,1865,5314,moving
-1604,-724,14648,609,5506,-1234,moving
-1940,-172,16232,-338,681,-4075,moving
-60,-1380,14820,-1110,-2319,30,moving
-3760,-3384,15984,-756,-2853,-254,moving
392,-3000,15004,637,8002,-3618,moving
876,4236,17688,-1261,-6752,-1114,moving
-1728,-2776,11148,-661,1397,-1291,moving
320,-4848,15256,221,2177,-8480,moving
-1532,-2816,19664,690,272,-2191,moving
-2532,-1708,18908,397,3053,-1567,moving
-2204,-2844,17576,362,-2656,-1838,moving
916,-2960,15492,248,5496,6737,moving
-1668,-448,15624,1389,5825,9015,moving
-1408,788,17360,-116,2427,1589,moving
392,-1784,15812,-765,-41,5415,moving
-980,-1444,14992,2308,9926,5756,moving
-1580,1164,16592,810,3176,-4261,moving
-708,-432,17208,711,8319,-3649,moving
-4012,-1492,17388,2497,9866,2902,moving
-15916,-2388,32767,-1042,-14880,-5219,moving
1788,-1784,13428,-616,1353,-9396,moving
-632,-1500,15108,-83,542,-4166,moving
-1584,-1900,17748,736,-1247,-9132,moving
7044,908,-1148,-2630,-7994,-7546,moving
-684,-1256,12220,-281,-820,-6538,moving
-228,-1212,16736,-1923,-2714,-5186,moving
2168,60,17528,-667,-3401,-3652,moving
-864,-2284,13768,-27,-517,-378,moving
-1344,-1940,15132,130,-93,-5137,moving
596,-1784,15696,-167,3561,-465,moving
-3224,-1876,17760,-70,1762,678,moving
168,544,16864,-729,-1443,-1143,moving
504,-2136,15644,-1683,2639,1579,moving
-812,-1400,14500,-1059,323,305,moving
-132,-2784,18088,2306,3218,-3051,moving
-500,-788,16720,-1885,2882,454,moving
-912,-1324,16656,-1789,1619,-459,moving
904,-532,12492,96,-3187,-1032,moving
-1340,-840,16080,1494,-4476,618,moving
1160,352,16436,629,-1238,-4321,moving
2332,792,13992,-183,1673,-3513,moving
532,592,16296,-1864,3051,3748,moving
-160,796,10964,-474,-3240,2346,moving
852,804,14108,1761,-5118,427,moving
456,1148,16620,-653,928,6694,moving
1364,-960,13832,-1788,-3426,7386,moving
2096,-572,16144,-710,-281,494,moving
1228,-2752,15444,-835,52,6833,moving
-1788,-1972,15012,-290,-3820,9961,moving
2240,-1744,16568,-20,-198,2886,moving
2276,-1768,15344,-684,-2932,6964,moving
364,-1824,12152,571,-3014,8507,moving
928,-2952,15540,-1247,6039,4236,moving
2288,-1928,15712,-1471,993,2534,moving
1960,-220,16232,381,-2839,6074,moving
-404,-1040,11900,359,345,-2773,moving
1128,-2148,16688,-248,5214,-1231,moving
-1992,-752,15928,1880,-2714,-1529,moving
-988,-720,15476,245,-308,-3592,moving
-892,-2540,18716,-879,38,-45,moving
-2544,-1024,15392,-1086,-3003,-2420,moving
3020,4,16192,-1519,3448,-3701,moving
-416,-1556,13768,-1762,3491,-5337,moving
-836,-876,14148,-1543,2881,-3228,moving
1740,428,11872,1146,-2621,-7577,moving
-160,-684,15520,-1265,1276,-2320,moving
980,-1416,13888,-1435,-2477,-7263,moving
-264,-592,12884,215,3334,-5354,moving
-1084,-956,12544,753,-581,-3748,moving
-2184,-3304,17780,1728,1673,-6711,moving
-2284,-1368,17016,-1477,3119,-746,moving
-1720,468,17224,-540,358,-2685,moving
-732,-996,12880,-302,1505,809,moving
-1284,-116,12556,-455,-2112,2428,moving
-3116,-3236,17408,-549,1333,1672,moving
-1292,-940,16748,-2054,-137,10905,moving
-1744,-1092,12804,-1219,-1577,7301,moving
360,-1868,13352,-1346,-442,10303,moving
-1228,-1648,13616,802,-3122,5070,moving
-3804,-796,18696,665,-412,-235,moving
1968,-488,18848,-1151,8822,-1659,moving
-644,-1924,13036,255,1585,-1738,moving
-2096,-1652,14108,1646,-3945,-3888,moving
-2424,-3172,16984,-244,13259,-2788,moving
-1740,-4052,16292,-1796,1598,-1969,moving
-128,-2188,12964,0,1004,-6506,moving
-584,-1728,14216,219,420,-1351,moving
-3924,-1160,16060,-801,-733,6221,moving
-968,-544,15412,-1472,-57,6241,moving
-1168,-2868,14412,-391,-1277,6693,moving
-1824,700,17136,321,-9156,7209,moving
-792,-2620,16240,741,1215,1173,moving
1072,-3012,15352,514,-2726,5018,moving
-2180,-1724,12952,845,-3162,6094,moving
-568,-300,17724,-324,-1243,3133,moving
-96,-3028,11848,-2334,-1787,4034,moving
996,-476,12496,-2130,1880,1823,moving
-2852,-1580,17068,-96,869,-1821,moving
-3384,-2620,18740,378,6241,-7453,moving
-1080,44,15148,482,4501,-5994,moving
-2800,-2940,14280,-27,-3644,-3301,moving
-1196,-2764,13360,637,-1289,-6230,moving
1956,-264,16068,-390,-395,-4164,moving
-924,-1904,15452,-812,2536,-5061,moving
-1540,-1232,14740,-257,-1712,-4142,moving
480,-420,11568,1792,-1722,-7997,moving
224,-1576,15788,480,-1245,-1930,moving
-1924,-2172,14960,-759,1913,-3417,moving
-1808,-220,15044,247,-2488,-2207,moving
480,-1232,17312,-1121,-1054,2096,moving
-2628,-2252,17532,836,5632,3832,moving
3740,3112,8636,-198,-374,347,moving
2320,928,11624,-513,-3282,6760,moving
232,-2492,14812,-586,-2145,14301,moving
548,-1340,16144,-786,1288,8833,moving
3396,-676,18448,-1977,12034,7208,moving
2232,776,13720,2004,3298,2795,moving
780,-1036,13488,1168,-480,845,moving
1640,412,17280,-98,3497,-3581,moving
592,-156,14140,-1249,-400,-4692,moving
-28,128,15604,1056,2085,-2888,moving
-1228,-496,15020,-1710,3267,-1221,moving
-1220,-376,14256,1126,920,-8413,moving
-68,-924,14196,-318,-9085,-4904,moving
388,2032,12012,-4041,-6718,4107,moving
-904,-1376,14492,943,819,-1185,moving
532,-1540,16904,-858,723,-3788,moving
-7788,-3056,32767,-2261,-689,-4369,moving
-1216,-752,14200,-355,-268,-3626,moving
-272,-2524,16872,-891,-1265,-8299,moving
740,6480,32767,806,-8713,-1860,moving
-1956,-1588,15236,-489,636,3115,moving
-1912,-3148,17284,-932,6287,1466,moving
336,-320,15960,-2177,1493,6520,moving
-1416,-1216,14396,782,-3209,13249,moving
-1112,-1276,18300,-1454,-4487,3761,moving
268,-1528,14252,-1248,345,4256,moving
-1888,-1872,15004,-553,-2157,1301,moving
2920,-1564,16044,-981,8555,-2436,moving
688,-464,15236,-2165,553,-2531,moving
412,-1692,13668,-810,1109,-2327,moving
-1132,-3392,17092,341,-2550,-3194,moving
2044,-2068,16492,-595,3465,6082,moving
-2020,-1128,10892,903,-3844,5005,moving
-1524,1588,12700,-155,980,-4106,moving
1112,-1856,13356,-1773,-2933,-2001,moving
-512,-1856,13948,-1176,287,-2600,moving
716,-3116,13932,-341,-4707,-3412,moving
380,-4172,16540,1429,9483,10100,moving
276,-1268,15644,1243,-1005,7017,moving
1720,-1740,14852,-1105,-720,12965,moving
-1036,-1376,14936,-597,2712,1830,moving
-468,-1056,15480,274,2002,-963,moving
-3160,220,14940,348,-1169,2447,moving
-3172,-1024,15172,-1403,-1665,-2398,moving
-1752,536,21368,832,-8419,-1850,moving
-9868,-1044,26472,-2537,-6467,2462,moving
596,-1852,12360,164,-980,-1966,moving
-1504,-312,13940,-1438,-806,1827,moving
-1832,-396,15772,1029,1633,-5386,moving
668,-136,17292,-1944,50,-492,moving
-248,-1420,18116,684,-1109,2459,moving
-1740,140,21972,-400,-710,-2589,moving
-400,-2036,20176,-741,4100,4251,moving
-2056,-116,19000,-1124,7183,4115,moving
-436,-484,12600,-284,-3426,-2350,moving
2676,2592,17924,-1773,4258,2480,moving
-1596,1780,16104,2,3327,-2802,moving
-484,1484,16436,630,-2836,-3535,moving
-528,720,14356,-860,762,-1567,moving
-472,720,15912,-2457,1058,1909,moving
-1028,524,15044,-189,190,-4280,moving
-2216,-132,14816,-357,954,-363,moving
-2856,-108,16120,-1091,-1870,253,moving
-1808,60,15384,-509,3959,3767,moving
-3240,-1240,16736,-1909,87,1748,moving
-1384,-360,15800,-1418,-1519,-48,moving
-1712,-256,14604,-136,1247,1181,moving
-3184,200,14820,-34,-2825,754,moving
436,-908,14984,166,-1820,-6077,moving
-3168,880,16512,-787,-838,-3461,moving
-1308,580,16432,368,3043,2407,moving
-896,828,15412,-1841,-2008,3870,moving
-1088,-544,16156,-119,-1561,-2703,moving
184,1592,14896,1762,997,2214,moving
-1736,3176,12312,595,912,-346,moving
5440,4332,-4112,-1046,1517,2308,moving
824,1316,16864,-579,1079,45,moving
-1224,2744,16644,-1682,3103,-803,moving
-2236,4016,15676,-888,-2627,-2885,moving
2148,1304,16140,-1923,-2309,-2518,moving
1796,2436,13024,232,3153,-4391,moving
-1296,3352,17072,-528,-280,357,moving
-408,2000,13392,-307,-287,-7250,moving
1076,1320,16896,-1655,-379,-7163,moving
-512,388,15680,-44,1899,-5135,moving
-3200,2844,19504,2147,-1546,-7919,moving
2156,2640,13980,-894,2177,-5715,moving
-712,700,16552,-1447,-5850,-2599,moving
-1100,708,14804,14,898,-2196,moving
440,1728,15720,-695,-2243,-553,moving
-576,1004,15832,-250,1966,2278,moving
-892,1988,14792,-1692,-1241,2899,moving
-452,24,18884,116,361,-2021,moving
1028,1716,14580,-848,1278,2094,moving
-136,-120,16444,-2064,2185,5241,moving
-948,-4932,15900,450,2694,-1955,moving
168,5004,25636,-2545,-13794,9319,moving
-72,-500,15596,-805,5816,14095,moving
-540,-952,15932,-395,228,6775,moving
948,84,16044,-1441,-1458,9983,moving
472,-912,12456,-902,738,15655,moving
-260,756,15464,-885,-1905,9632,moving
2524,1016,15224,-2217,-497,7093,moving
-1920,12804,13600,-2959,2744,15981,moving
-1652,128,15072,-317,3032,1065,moving
-324,508,16232,-11,665,-1856,moving
-4940,384,23336,343,-853,2888,moving
-1436,1120,14424,809,1042,-3152,moving
-220,2440,16104,529,-62,-3040,moving
-1824,1268,17084,-264,-1324,1648,moving
-2796,924,14920,-597,3819,-3296,moving
-720,1724,15640,-998,-58,-827,moving
-1504,-252,16328,-1357,-104,3684,moving
-1492,1504,12844,547,-1806,-1118,moving
-444,1524,16440,-339,328,-1275,moving
-2060,-1824,19296,-2665,1742,5724,moving
-6048,6608,32767,352,-13165,-898,moving
-884,932,15648,401,177,-213,moving
-2616,-132,15680,273,1078,4958,moving
-1676,992,18176,-2099,-122,1138,moving
320,492,12696,-3939,-3341,8701,moving
-2472,-384,15760,-2889,-2554,12327,moving
-1328,-296,16200,-1549,706,3555,moving
-364,-312,14792,-3066,-2494,11419,moving
-2832,700,12816,621,-534,8148,moving
-2956,912,15308,-2760,-319,4465,moving
-1908,404,15812,-611,358,4766,moving
-3788,904,13828,799,1480,5201,moving
-3924,2452,16076,-1399,-190,5491,moving
-1700,1168,16452,-2735,-1023,2504,moving
-856,1120,14200,1343,169,2805,moving
-3632,644,12592,609,1728,-4034,moving
-1444,2912,14832,-1873,-3762,-1124,moving
-952,364,13104,-2697,127,-90,moving
-2572,804,15756,-730,3345,-7,moving
-1420,976,16244,-990,-1407,1738,moving
-2140,404,15296,933,-1074,934,moving
-2176,812,12284,669,1035,2762,moving
-328,1836,14348,-409,119,-1240,moving
-1540,948,16244,-590,2245,2292,moving
-2560,556,14824,-1498,2142,1805,moving
-1072,1484,15012,-296,1065,-130,moving
-1816,744,14580,-382,-522,5350,moving
-2852,1620,16056,110,3196,2255,moving
-1908,1044,16548,-1521,-3285,7785,moving
-3308,1044,13404,-1291,1693,5203,moving
-1428,120,16472,-649,2772,4672,moving
-3420,1160,16136,-1845,966,14568,moving
-1312,2460,16028,-3568,-1822,11592,moving
560,1200,16776,-1155,2469,3352,moving
-416,1408,16324,-1550,3856,4684,moving
-1672,956,16152,-531,2606,-1997,moving
-956,2520,14248,526,-337,564,moving
-3288,1840,16092,995,4430,3783,moving
-4940,5236,23628,-43,-10705,2352,moving
-960,1192,14836,-2459,-145,302,moving
-2076,1012,16792,-656,542,4003,moving
-2840,1260,20012,-1758,-2755,1311,moving
-2984,892,14376,-2766,3599,5077,moving
-2660,1144,13772,-1636,938,6109,moving
-1688,864,15696,-558,1652,3743,moving
-416,-1500,12504,-2208,-1460,5373,moving
-2696,2728,15340,-2116,1455,3617,moving
-452,648,14692,-960,1297,2243,moving
-2636,3236,18492,2486,462,2928,moving
-2244,3548,16516,2293,2684,-1703,moving
-1284,1976,13968,-976,204,108,moving
-3460,1924,16896,-1991,-262,2155,moving
-1716,-128,16820,-1965,-5214,-628,moving
508,1544,16040,920,-526,-398,moving
368,432,15184,-464,1178,3949,moving
-876,876,14452,-1336,2106,4328,moving
712,2384,16400,-1649,-578,3635,moving
68,-2060,15792,-3636,1094,17331,moving
-180,2324,17148,-27,2252,8648,moving
-248,-312,16704,-650,2853,10544,moving
-1236,-36,13540,-799,-3364,11584,moving
-1528,728,15108,-1786,-1132,2906,moving
732,1344,15960,34,-1393,4084,moving
1064,680,12632,2115,1375,3701,moving
-596,2940,17804,-622,-483,-1085,moving
3336,1252,16228,-2697,1079,-3544,moving
1204,1064,11632,-91,2024,-1058,moving
-1136,2088,16008,1105,23,2825,moving
-1640,1368,14428,6,3304,-5127,moving
-304,2016,16068,-421,362,-3877,moving
-1136,1948,16056,365,742,-56,moving
-2024,1984,15032,1261,-1131,3317,moving
-1684,3656,16940,204,-474,-1249,moving
44,1448,14920,-1332,77,766,moving
-1516,1704,15912,166,-163,3199,moving
-2344,292,16612,-744,109,3560,moving
1204,628,16484,-153,3498,-2723,moving
3300,-1548,12700,45,354,10139,moving
-556,1568,14244,-427,-582,11526,moving
260,-384,15292,-609,-649,6672,moving
1336,2020,16476,-1017,548,7507,moving
448,1312,16432,-862,1593,13183,moving
-2172,672,15692,-1665,-173,12127,moving
1600,804,16644,992,910,6042,moving
-36,-2376,17012,1060,3880,9717,moving
-1772,2840,12052,850,3432,6334,moving
-1260,3076,15148,-897,257,3461,moving
-28,1548,15596,-2694,540,6116,moving
-1844,2212,16020,1189,78,5783,moving
-2260,3124,17732,1020,348,2147,moving
-224,2232,13968,-794,1054,2842,moving
-3592,992,18196,-1575,1398,7388,moving
-1560,2968,16084,-518,-101,1861,moving
-1220,2264,14020,-1953,2397,1739,moving
-1176,2216,16064,-636,-536,5936,moving
-1084,2456,15544,-377,135,656,moving
-392,1076,14408,-784,-659,1579,moving
-1960,608,16096,-1613,4778,10432,moving
-1900,2528,14880,-2194,-221,6013,moving
-224,204,15868,-1235,1387,6720,moving
696,72,16284,229,2258,12375,moving
-2236,2576,14888,-799,-1101,12084,moving
3252,840,15164,-1081,2263,4831,moving
88,2464,16784,-120,2366,4833,moving
-1364,640,14412,829,326,5251,moving
-1832,1800,17028,730,-2209,928,moving
-472,1736,13904,-3436,-483,1933,moving
-2124,624,15928,-51,-1887,3636,moving
-1892,1316,16368,-1007,3284,-257,moving
12,1604,14024,-196,-88,-419,moving
-1988,624,17676,-700,48,2953,moving
-1464,1232,14312,-1742,1177,1524,moving
-216,-4,14416,158,-472,2931,moving
-1216,1140,15508,-2433,588,12390,moving
2220,2420,17056,-935,-641,8466,moving
1256,992,14908,-1320,115,7934,moving
-224,720,16268,178,1475,14045,moving
-1760,2652,14060,-1801,-1766,5537,moving
944,3372,13592,463,-3782,2377,moving
3192,11936,8696,33,-2353,8667,moving
-1540,1784,15620,695,971,8649,moving
84,4208,15624,-1230,-2400,3076,moving
-224,2376,15192,-489,441,2342,moving
-2280,760,17772,-545,-2175,5194,moving
-5704,-3372,32767,-2104,-9324,388,moving
12,1140,14572,-1324,822,716,moving
-1700,1744,16520,-638,-488,6190,moving
620,452,16520,-390,-2396,3178,moving
108,16,16576,-836,2341,6428,moving
-856,2016,13564,-639,-2384,10818,moving
0,1024,17572,-952,146,5192,moving
192,1184,15480,-1601,2598,8075,moving
-2064,2128,15756,171,1763,11890,moving
-1472,3888,15644,-1090,-464,7188,moving
1368,2732,15616,-1124,-694,2976,moving
356,3240,15812,316,1682,3815,moving
-1872,4048,16164,1138,2244,2688,moving
-1884,4560,14824,-460,-691,534,moving
168,2176,15224,-2352,1071,-772,moving
-3860,3984,16008,2445,3496,-1512,moving
-3004,2788,15860,-417,521,211,moving
-212,1720,15832,-572,834,-3533,moving
-1796,-416,16784,-1813,982,4472,moving
-2256,1920,15516,-1383,663,-127,moving
-764,1232,15344,-988,483,2205,moving
-2460,848,15432,-1614,1356,7918,moving
-1592,1964,15872,-477,531,1111,moving
-200,-316,13328,-1616,1364,5025,moving
3248,4364,13984,-1193,385,11534,moving
-1356,420,16740,-891,1597,4953,moving
1856,2716,14516,-1751,-3610,-2215,moving
-1292,-348,16360,-838,760,3288,moving
-772,2048,12904,1189,-574,-1121,moving
-724,512,15180,-335,2196,-3557,moving
-2856,3276,16840,566,-289,3811,moving
1320,8308,29872,-4541,-11020,-717,moving
604,460,15084,-427,1763,-3561,moving
-360,2156,16064,-290,-3683,281,moving
-112,-204,17056,-1218,2628,516,moving
-1020,1868,13760,128,98,58,moving
0,1752,15208,-1196,178,-1402,moving
868,1696,15712,-3041,-476,7905,moving
-888,1032,12636,-775,-1310,5585,moving
296,1652,16812,-1219,1710,6733,moving
-2352,8,16032,-125,3904,15892,moving
-1948,4456,16484,-1688,3222,4602,moving
-1004,3728,14720,-3821,-4286,2180,moving
-1696,2764,15444,-1853,-1156,-658,moving
124,3204,16980,353,-3125,-1551,moving
-156,2360,16068,535,3954,827,moving
-2628,3872,15792,-2985,-374,6144,moving
-912,2752,14416,-2106,-2606,-5191,moving
-1556,1196,17320,637,1430,-8929,moving
-880,2464,15668,1701,123,-1463,moving
-2672,2436,15384,975,752,2889,moving
-1816,4964,15092,-701,-542,-2326,moving
-364,2628,16992,-2591,-3049,-2145,moving
-304,3124,15608,-889,844,-2912,moving
-2052,2348,15860,650,92,3682,moving
-1748,2752,13140,-2092,261,2295,moving
76,1416,13996,-996,-1770,2158,moving
-1088,804,15636,-846,668,11617,moving
1692,4548,17320,-1717,-5356,16505,moving
-1708,2160,13940,-132,-869,9906,moving
524,2156,16120,-1295,1307,6225,moving
288,3236,16696,-1129,1514,6212,moving
-1792,2764,17780,-748,3717,9328,moving
-1376,3312,14348,953,825,7900,moving
-896,4716,17260,-536,1005,1029,moving
-508,3536,14404,-2373,2254,4094,moving
-3592,3016,16036,-948,2306,7490,moving
-3368,3984,14504,-1028,222,1129,moving
-1528,2276,17768,246,-1062,844,moving
-272,2960,14004,-790,-613,1905,moving
-2580,2112,15544,-210,301,2381,moving
-10568,-108,32767,-3502,-11584,-2207,moving
-300,1780,13744,1321,-731,-5674,moving
-312,5108,14040,1553,2204,91,moving
-2684,2620,13940,-972,1008,-1793,moving
-900,2876,16460,-1263,-3814,-2624,moving
-588,1968,14512,-897,333,1158,moving
-1348,3888,15612,138,124,630,moving
-872,1512,14900,-1330,1846,3905,moving
-392,3192,14348,-555,-1630,2543,moving
-108,720,16912,-4135,318,4729,moving
488,1236,15980,-1311,756,8387,moving
-928,-832,15568,-1105,-154,13267,moving
-1184,1668,16340,-357,477,8859,moving
-16,1092,15844,-553,-193,8032,moving
-1004,2040,16012,752,2195,10228,moving
-1408,2768,15316,303,-51,10037,moving
1632,2968,15364,-1872,-1456,2324,moving
560,2260,16324,58,1581,-1631,moving
-804,3132,14580,1508,986,5188,moving
8,3228,14872,-348,-1586,2916,moving
-304,4128,18588,-1312,2096,-2412,moving
-1272,2524,14768,-1180,314,2679,moving
-248,1880,14268,-1744,3848,2379,moving
-1488,4268,15736,-278,-1707,-326,moving
28,2216,15924,-1270,-412,-2337,moving
-1272,1884,17728,831,-3102,7107,moving
-1768,3784,14316,-173,1051,-1994,moving
48,3672,13468,370,-3587,-2014,moving
-332,1200,17436,-2699,2373,-138,moving
-2188,2396,14928,341,648,897,moving
-856,1172,15396,-822,3371,-817,moving
-524,1316,13976,-1066,1707,-1959,moving
-1460,1200,16492,296,-446,548,moving
-12796,176,32767,766,-5875,-3567,moving
-796,1832,13388,446,-2918,-6782,moving
-896,2064,18236,995,2663,-4261,moving
-3260,232,14236,-466,2693,-10069,moving
-1920,928,16932,2823,1664,-17017,moving
-1732,1928,16728,343,-2083,-7006,moving
968,2092,16164,-2220,-1970,-1146,moving
-3304,2024,15224,950,-4004,3391,moving
-1888,2688,17244,-409,-1201,-2723,moving
-816,2120,16840,-2301,-2637,3146,moving
-616,1068,13556,-1392,-615,6792,moving
-2504,2368,16580,-294,-744,5412,moving
-252,2584,13520,163,393,-571,moving
-388,2792,16724,-1344,-1226,229,moving
-1172,1320,14116,-486,1849,5075,moving
-2672,1808,17160,-222,-1421,4738,moving
276,432,16016,-667,-844,-1386,moving
-1608,3748,15628,-886,403,573,moving
-2292,2636,15528,-1743,931,6779,moving
-1540,1824,13856,-1077,-803,2911,moving
-564,1440,13232,1121,-45,977,moving
428,3256,15936,-700,197,12266,moving
-1808,2360,15864,-239,3199,6237,moving
-40,2904,16256,-220,-176,3765,moving
-864,2752,15416,-1248,2291,8386,moving
-2592,2268,13976,-1058,-1922,7866,moving
596,2192,15892,-3486,-5293,5712,moving
380,3720,13292,-189,646,762,moving
-2252,2652,16972,316,2427,4128,moving
-908,2360,15016,-1356,-314,-924,moving
-736,3212,15140,-767,913,-1629,moving
-1692,100,16820,-1589,-1231,2901,moving
132,1764,13720,-823,1675,-1933,moving
-460,1804,14856,-498,-2392,-7722,moving
-1868,444,17728,2549,2505,-1284,moving
-2048,620,14300,531,3608,-10471,moving
-1220,-160,13592,-647,1501,-3934,moving
656,2604,15756,-1247,-3180,-5739,moving
-576,784,15836,-1123,1772,-3952,moving
