AccY,AccZ,GyroX,GyroY,GyroZ,Label
-1.264,-0.275,40.756,-10.924,-41.305,STANDING
-1.243,-0.316,-18.649,-14.565,-51.336,STANDING
-1.291,-0.294,5.809,5.718,12.359,STANDING
-1.289,-0.170,-7.824,11.740,-7.702,STANDING
-1.130,-0.319,-9.153,-32.435,56.656,STANDING
-1.326,-0.304,-9.443,5.779,1.176,MOVING
-1.274,-0.281,9.496,-6.000,-8.756,STANDING
-1.256,-0.267,-7.496,9.908,2.908,STANDING
-1.242,-0.361,-5.176,1.405,-2.290,STANDING
-1.258,-0.262,-24.473,24.145,8.183,STANDING
-1.276,-0.271,-21.542,8.130,6.282,STANDING
-1.256,-0.256,0.450,-6.832,-10.420,STANDING
-1.223,-0.350,4.466,-2.221,5.977,STANDING
