AccY,AccZ,GyroX,GyroY,GyroZ,Label
-1.242,-0.242,8.160,1.382,-13.496,STANDING
-0.979,-0.390,19.885,28.565,-72.672,MOVING
-1.357,-0.113,3.466,0.023,19.840,MOVING
-1.277,-0.160,-26.397,12.206,-64.634,STANDING
-1.332,-0.162,17.145,-5.344,13.145,STANDING
-1.430,-0.101,5.076,3.840,18.573,STANDING
-1.219,-0.135,8.756,-0.809,-72.534,MOVING
-1.296,-0.148,33.069,-12.718,11.000,STANDING
-1.381,-0.224,-0.985,4.267,-0.427,STANDING
-1.182,-0.280,-9.305,-0.977,-9.771,MOVING
-1.359,-0.292,-24.214,9.794,-1.672,MOVING
-1.311,-0.232,15.344,0.275,-20.817,STANDING
-1.339,-0.157,-34.878,24.679,75.328,STANDING
-1.428,-0.192,9.527,1.427,-18.427,STANDING
-1.299,-0.182,16.557,-3.702,-17.542,STANDING
-1.396,-0.118,-6.015,14.084,44.046,STANDING
-1.446,-0.178,-9.603,0.947,0.458,STANDING
-1.551,0.173,34.687,46.275,-20.389,STANDING
-1.358,-0.115,-11.298,-1.183,19.695,MOVING
-1.303,-0.161,26.641,-14.817,-62.023,STANDING
-1.240,-0.148,-7.160,5.969,32.053,STANDING
-1.445,-0.146,-3.160,13.725,-15.832,MOVING
-1.322,-0.129,-14.038,4.008,25.015,STANDING
-1.331,-0.197,27.779,-5.397,-34.115,STANDING
-1.403,-0.154,-18.374,13.885,-7.740,STANDING
-1.284,-0.248,-31.985,3.038,25.954,STANDING
-1.346,-0.108,24.710,-1.916,-32.122,STANDING
-1.350,-0.038,-7.351,2.420,41.580,STANDING
-1.344,-0.092,-15.092,14.718,-29.038,STANDING
-1.352,-0.179,-21.443,-2.298,52.817,STANDING
-1.447,-0.136,5.885,17.824,-16.611,STANDING
-1.273,-0.045,-12.954,9.908,10.733,MOVING
-1.148,-0.123,19.328,-27.603,-40.420,STANDING
-1.345,-0.191,-4.748,-9.176,22.450,MOVING
-1.392,-0.314,40.221,0.244,-32.053,STANDING
-1.279,-0.108,-50.595,22.252,41.565,STANDING
-1.422,-0.162,6.481,-7.298,16.863,STANDING
-1.242,-0.248,24.672,-19.275,-4.412,MOVING
-1.272,-0.042,-9.466,2.611,-5.916,STANDING
-1.344,-0.228,-17.115,-10.916,43.931,STANDING
-1.420,-0.078,-13.183,13.221,-24.420,STANDING
-1.416,-0.205,-10.603,-6.237,46.489,STANDING
-1.359,-0.156,4.489,14.534,-22.504,STANDING
-1.273,-0.041,-3.588,1.763,-2.145,STANDING
-1.287,-0.141,6.824,-3.389,-52.756,STANDING
-1.229,-0.101,-11.252,5.855,21.176,STANDING
-1.460,-0.195,-2.527,8.015,16.305,MOVING
-1.259,0.106,81.580,-11.603,-89.626,MOVING
-1.436,-0.161,0.649,0.748,27.985,MOVING
-1.262,-0.053,41.466,-25.573,-65.802,MOVING
-1.337,-0.277,-0.168,3.038,5.756,STANDING
-1.312,-0.143,-14.489,16.076,49.893,STANDING
-1.494,-0.299,-1.229,9.718,-15.763,MOVING
-1.335,-0.234,-37.275,24.374,10.878,MOVING
-1.397,-0.237,1.099,3.840,9.618,STANDING
-1.415,-0.215,-1.031,-9.702,-28.527,STANDING
-1.410,-0.184,0.168,7.099,38.107,STANDING
-1.452,-0.171,-6.298,5.924,1.718,STANDING
-1.356,-0.121,13.412,-24.573,-34.267,STANDING
-1.188,-0.096,-24.847,15.565,-11.305,MOVING
-1.229,-0.188,-0.008,12.321,2.321,STANDING
-1.320,-0.273,8.237,-5.450,15.527,STANDING
-1.250,-0.093,28.351,-6.153,-8.221,STANDING
-1.273,-0.226,-2.748,2.092,-0.649,STANDING
-1.220,-0.092,24.908,-4.725,2.305,STANDING
-1.320,-0.246,0.427,-1.160,1.466,STANDING
-1.242,-0.160,-22.015,20.603,4.901,STANDING
-1.262,-0.147,12.244,-12.580,-4.328,STANDING
-1.234,-0.150,1.702,-2.084,-3.489,STANDING
-1.303,-0.220,-18.809,13.908,3.015,STANDING
-1.169,-0.253,-0.656,-0.550,17.153,STANDING
-1.412,-0.190,49.344,-2.679,-16.733,MOVING
-1.082,-0.160,-21.412,-12.916,5.275,MOVING
-1.304,-0.238,-5.366,-7.092,30.496,MOVING
-1.367,-0.260,11.191,4.542,-27.160,STANDING
-1.315,-0.146,3.611,1.664,8.321,STANDING
-1.339,-0.094,36.847,-9.763,-0.130,STANDING
-1.359,-0.109,-12.740,1.344,2.985,STANDING
-1.324,-0.172,2.145,1.863,-26.656,STANDING
-1.332,-0.157,29.466,-4.130,-0.809,STANDING
-1.276,-0.118,3.954,-9.519,-9.664,STANDING
-1.268,-0.280,-61.878,22.809,28.863,STANDING
-1.463,-0.048,28.496,-31.473,-20.397,MOVING
-1.319,-0.209,-1.618,-14.420,-39.550,STANDING
